name,symbol,market_cap,category
Stellar,xlm,8062192429,Smart Contract Platform | Real World Assets (RWA) | Stellar Ecosystem | Made in USA
WETH,weth,7956886433,Crypto-Backed Tokens | Wrapped-Tokens | Terra Ecosystem | Ethereum Ecosystem | Tron Ecosystem | Index Coop Defi Index
Wrapped eETH,weeth,7950680371,Crypto-Backed Tokens | BNB Chain Ecosystem | Wrapped-Tokens | Avalanche Ecosystem | Ethereum Ecosystem | Optimism Ecosystem | Linea Ecosystem | Base Ecosystem | Scroll Ecosystem | Restaking | Berachain Ecosystem | Liquid Restaking Tokens | Blast Ecosystem | Ether.fi Ecosystem | Mode Ecosystem | Sonic Ecosystem | Morph L2 Ecosystem | Swellchain Ecosystem | Unichain Ecosystem | HyperEVM Ecosystem | Initia Ecosystem | Plasma Ecosystem
Ethena USDe,usde,7935906046,Stablecoins | USD Stablecoin | BNB Chain Ecosystem | Solana Ecosystem | Avalanche Ecosystem | Arbitrum Ecosystem | Ethereum Ecosystem | Metis Ecosystem | Optimism Ecosystem | Aptos Ecosystem | Mantle Ecosystem | Linea Ecosystem | Base Ecosystem | TON Ecosystem | Manta Network Ecosystem | Scroll Ecosystem | Berachain Ecosystem | Kava Ecosystem | Blast Ecosystem | Mode Ecosystem | Fraxtal Ecosystem | X Layer Ecosystem | Hyperliquid Ecosystem | Fiat-backed Stablecoin | Zircuit Ecosystem | Morph L2 Ecosystem | Swellchain Ecosystem | HyperEVM Ecosystem | Synthetic Dollar | Plasma Ecosystem
Litecoin,ltc,7295103003,Infrastructure | Smart Contract Platform | Privacy | Layer 1 (L1) | Proof of Work (PoW) | Made in USA
Monero,xmr,7277216417,Smart Contract Platform | Privacy | Layer 1 (L1) | Proof of Work (PoW)
Coinbase Wrapped BTC,cbbtc,6919236535,Crypto-Backed Tokens | Tokenized BTC | Wrapped-Tokens | Solana Ecosystem | Arbitrum Ecosystem | Ethereum Ecosystem | Base Ecosystem
Avalanche,avax,6351446954,Smart Contract Platform | Layer 1 (L1) | Avalanche Ecosystem | Proof of Stake (PoS) | World Liberty Financial Portfolio | Made in USA
Hedera,hbar,6219369642,Smart Contract Platform | Layer 1 (L1) | Hedera Ecosystem | Made in USA | Directed Acyclic Graph (DAG)
Sui,sui,6078001052,Smart Contract Platform | Binance Launchpool | Layer 1 (L1) | Sui Ecosystem | Proof of Stake (PoS) | YZi Labs (Prev. Binance Labs) Portfolio | Made in USA
Shiba Inu,shib,5154672379,Meme | Ethereum Ecosystem | Dog-Themed
Dai,dai,4528274086,Stablecoins | Decentralized Finance (DeFi) | USD Stablecoin | Ethereum Ecosystem | Crypto-backed Stablecoin | Fiat-backed Stablecoin
Polkadot,dot,4476687511,Smart Contract Platform | Polkadot Ecosystem | BNB Chain Ecosystem | Arbitrum Ecosystem | Ethereum Ecosystem | Optimism Ecosystem | Base Ecosystem | Proof of Stake (PoS) | Layer 0 (L0) | Made in USA | Governance
Ethena Staked USDe,susde,4463855144,BNB Chain Ecosystem | Solana Ecosystem | Avalanche Ecosystem | Arbitrum Ecosystem | Liquid Staking Tokens | Ethereum Ecosystem | Metis Ecosystem | Optimism Ecosystem | Aptos Ecosystem | Mantle Ecosystem | Linea Ecosystem | Base Ecosystem | TON Ecosystem | Manta Network Ecosystem | Scroll Ecosystem | Berachain Ecosystem | Kava Ecosystem | Blast Ecosystem | Mode Ecosystem | Fraxtal Ecosystem | X Layer Ecosystem | Zircuit Ecosystem | Morph L2 Ecosystem | Swellchain Ecosystem | HyperEVM Ecosystem | Yield-Bearing Stablecoin | Plasma Ecosystem
Uniswap,uni,4462263489,Decentralized Exchange (DEX) | Exchange-based Tokens | Decentralized Finance (DeFi) | Yield Farming | Automated Market Maker (AMM) | BNB Chain Ecosystem | Avalanche Ecosystem | Polygon Ecosystem | Near Protocol Ecosystem | Gnosis Chain Ecosystem | Harmony Ecosystem | Arbitrum Ecosystem | Ethereum Ecosystem | Optimism Ecosystem | Index Coop Defi Index | Energi Ecosystem | Sora Ecosystem | Huobi ECO Chain Ecosystem | Made in USA | Unichain Ecosystem | Governance
Toncoin,ton,4459486752,Smart Contract Platform | BNB Chain Ecosystem | Layer 1 (L1) | Ethereum Ecosystem | Alleged SEC Securities | TON Ecosystem | Proof of Stake (PoS)
USDT0,usdt0,4084329157,Polygon Ecosystem | Arbitrum Ecosystem | Optimism Ecosystem | Mantle Ecosystem | Berachain Ecosystem | Bridged USDT | Flare Network Ecosystem | Conflux Ecosystem | Rootstock Ecosystem | X Layer Ecosystem | Hyperliquid Ecosystem | Sei Network Ecosystem | Bridged-Tokens | Ink Ecosystem | Bridged Stablecoin | Unichain Ecosystem | HyperEVM Ecosystem | Corn Ecosystem | Plasma Ecosystem
Cronos,cro,4016489396,Smart Contract Platform | Exchange-based Tokens | Centralized Exchange (CEX) Token | Layer 1 (L1) | Ethereum Ecosystem
Canton,cc,3889456538,Smart Contract Platform | Privacy | Layer 1 (L1) | Privacy Blockchain
Mantle,mnt,3827374717,Smart Contract Platform | Ethereum Ecosystem | Layer 2 (L2) | Mantle Ecosystem | World Liberty Financial Portfolio | Made in China | Neobank
sUSDS,susds,3813476212,Arbitrum Ecosystem | Ethereum Ecosystem | Optimism Ecosystem | Yield-Bearing Stablecoin
MemeCore,m,3677934402,Smart Contract Platform | BNB Chain Ecosystem | Layer 1 (L1) | Meme | Binance Alpha Spotlight | MemeCore Ecosystem
PayPal USD,pyusd,3440617878,Stablecoins | USD Stablecoin | Solana Ecosystem | Arbitrum Ecosystem | Ethereum Ecosystem | Starknet Ecosystem | Stellar Ecosystem | Fiat-backed Stablecoin | Made in USA
Bittensor,tao,2980573808,Artificial Intelligence (AI) | Smart Contract Platform | Layer 1 (L1) | DePIN | Bittensor Ecosystem
NEAR Protocol,near,2879800561,Artificial Intelligence (AI) | Smart Contract Platform | Layer 1 (L1) | Near Protocol Ecosystem | Ethereum Ecosystem | Alleged SEC Securities | Data Availability | Proof of Stake (PoS) | Made in USA | Chain Abstraction
USD1,usd1,2805702331,Stablecoins | USD Stablecoin | Solana Ecosystem | Ethereum Ecosystem | Aptos Ecosystem | Tron Ecosystem | World Liberty Financial Portfolio | Plume Network Ecosystem | Trump-Affiliated
Bitget Token,bgb,2639487003,Exchange-based Tokens | Centralized Exchange (CEX) Token | Ethereum Ecosystem | Morph L2 Ecosystem | Made in China
Internet Computer,icp,2627312680,Artificial Intelligence (AI) | Infrastructure | Smart Contract Platform | Layer 1 (L1) | Ethereum Ecosystem | Internet Computer Ecosystem | Base Ecosystem | Alleged SEC Securities | Layer 0 (L0) | Governance
Aave,aave,2591777003,Decentralized Finance (DeFi) | Yield Farming | BNB Chain Ecosystem | Lending/Borrowing Protocols | Avalanche Ecosystem | Polygon Ecosystem | Near Protocol Ecosystem | Fantom Ecosystem | Harmony Ecosystem | Arbitrum Ecosystem | Ethereum Ecosystem | Optimism Ecosystem | Base Ecosystem | Index Coop Defi Index | Stablecoin Issuer | Energi Ecosystem | Sora Ecosystem | Huobi ECO Chain Ecosystem | World Liberty Financial Portfolio | Hydration Ecosystem | Governance
Currency One USD,c1usd,2550033902,Stablecoins | USD Stablecoin | Ethereum Ecosystem | Stellar Ecosystem | Fiat-backed Stablecoin
BlackRock USD Institutional Digital Liquidity Fund,buidl,2524535706,Solana Ecosystem | Avalanche Ecosystem | Polygon Ecosystem | Arbitrum Ecosystem | Ethereum Ecosystem | Optimism Ecosystem | Aptos Ecosystem | Real World Assets (RWA)
Aster,aster,2429031135,Decentralized Exchange (DEX) | Exchange-based Tokens | Decentralized Finance (DeFi) | BNB Chain Ecosystem | Perpetuals | Made in China
OKB,okb,2324262822,Exchange-based Tokens | Centralized Exchange (CEX) Token | Ethereum Ecosystem | Sora Ecosystem | OKT Chain Ecosystem | Made in China
Ethereum Classic,etc,2246894446,Smart Contract Platform | Layer 1 (L1) | Proof of Work (PoW)
Tether Gold,xaut,2134691343,Stablecoins | Tokenized Assets | Tokenized Gold | Ethereum Ecosystem | Real World Assets (RWA) | Tokenized Commodities
Falcon USD,usdf,2109605050,Stablecoins | USD Stablecoin | BNB Chain Ecosystem | Crypto-backed Stablecoin | Synthetic Dollar
Aptos,apt,2037099820,Smart Contract Platform | Layer 1 (L1) | Aptos Ecosystem | Proof of Stake (PoS) | YZi Labs (Prev. Binance Labs) Portfolio | Made in USA
Pepe,pepe,2004250284,BNB Chain Ecosystem | Avalanche Ecosystem | Meme | Arbitrum Ecosystem | Ethereum Ecosystem | Frog-Themed | The Boy’s Club | 4chan-Themed
Pump.fun,pump,1946241544,Decentralized Exchange (DEX) | Exchange-based Tokens | SocialFi | Decentralized Finance (DeFi) | Automated Market Maker (AMM) | Solana Ecosystem | Launchpad | Meme
Ethena,ena,1918402004,Decentralized Finance (DeFi) | Binance Launchpool | Avalanche Ecosystem | Arbitrum Ecosystem | Ethereum Ecosystem | Metis Ecosystem | Optimism Ecosystem | Mantle Ecosystem | Base Ecosystem | TON Ecosystem | Manta Network Ecosystem | Scroll Ecosystem | Kava Ecosystem | Blast Ecosystem | Stablecoin Issuer | Mode Ecosystem | YZi Labs (Prev. Binance Labs) Portfolio | Fraxtal Ecosystem | Zircuit Ecosystem | Morph L2 Ecosystem | World Liberty Financial Portfolio | Swellchain Ecosystem | Governance
Jito Staked SOL,jitosol,1915217792,Solana Ecosystem | Liquid Staking Tokens | Neon Ecosystem | Liquid Staked SOL | Liquid Staking | Katana Ecosystem
Jupiter Perpetuals Liquidity Provider Token,jlp,1899549256,Decentralized Finance (DeFi) | LP Tokens | Solana Ecosystem
Binance-Peg WETH,weth,1847197877,BNB Chain Ecosystem | Binance-Peg Tokens
Pi Network,pi,1841706278,Layer 1 (L1) | Made in USA | Mobile Mining
Wrapped SOL,sol,1806283508,Crypto-Backed Tokens | Wrapped-Tokens | Solana Ecosystem
Ondo,ondo,1728598725,Decentralized Finance (DeFi) | Ethereum Ecosystem | Real World Assets (RWA) | RWA Protocol | World Liberty Financial Portfolio | Binance Alpha Spotlight | Made in USA
HTX DAO,htx,1669367107,Exchange-based Tokens | BNB Chain Ecosystem | Centralized Exchange (CEX) Token | Ethereum Ecosystem | Tron Ecosystem
POL (ex-MATIC),pol,1562317217,Smart Contract Platform | Polygon Ecosystem | Ethereum Ecosystem | Layer 2 (L2)
KuCoin,kcs,1548286841,Exchange-based Tokens | Centralized Exchange (CEX) Token | Made in China
Worldcoin,wld,1541889898,Smart Contract Platform | Ethereum Ecosystem | Decentralized Identifier (DID) | Optimism Ecosystem | Optimism Superchain Ecosystem | World Chain Ecosystem | Made in USA | Governance
USDtb,usdtb,1532412863,Stablecoins | USD Stablecoin | Ethereum Ecosystem | Fiat-backed Stablecoin
Provenance Blockchain,hash,1528965248,Smart Contract Platform | Layer 1 (L1) | Real World Assets (RWA) | Proof of Stake (PoS) | Provenance Ecosystem
Official Trump,trump,1400560148,Solana Ecosystem | Meme | Solana Meme | PolitiFi | Made in USA | Trump-Affiliated
Algorand,algo,1374557154,Smart Contract Platform | Layer 1 (L1) | Algorand Ecosystem | Real World Assets (RWA) | Alleged SEC Securities | Proof of Stake (PoS) | Made in USA
Filecoin,fil,1374029292,Infrastructure | Smart Contract Platform | Storage | Layer 1 (L1) | DePIN | Alleged SEC Securities | Made in USA
PAX Gold,paxg,1366941456,Stablecoins | Tokenized Assets | Tokenized Gold | Ethereum Ecosystem | Real World Assets (RWA) | Tokenized Commodities
BFUSD,bfusd,1319269444,Stablecoins | Yield-Bearing Stablecoin
syrupUSDT,syrupusdt,1316872094,Ethereum Ecosystem | Yield-Bearing Stablecoin | Plasma Ecosystem
Cosmos Hub,atom,1301784124,Smart Contract Platform | BNB Chain Ecosystem | Cosmos Ecosystem | Terra Ecosystem | Canto Ecosystem | Alleged SEC Securities | Osmosis Ecosystem | Proof of Stake (PoS) | Kava Ecosystem | Layer 0 (L0) | Archway Ecosystem | Evmos Ecosystem | Mantra Ecosystem | Governance
Binance Bridged USDC (BNB Smart Chain),usdc,1288145067,BNB Chain Ecosystem | Bridged USDC | Bridged-Tokens | Bridged Stablecoin
Gate,gt,1280726338,Smart Contract Platform | Exchange-based Tokens | Centralized Exchange (CEX) Token | Ethereum Ecosystem | Proof of Stake (PoS) | Made in China | GateLayer Ecosystem
Arbitrum,arb,1268260202,Smart Contract Platform | Arbitrum Ecosystem | Ethereum Ecosystem | Arbitrum Nova Ecosystem | Layer 2 (L2) | Rollup | Made in USA | Governance
VeChain,vet,1266309191,Internet of Things (IOT) | Smart Contract Platform | Layer 1 (L1) | VeChain Ecosystem | Made in China
Binance Staked SOL,bnsol,1243843760,Decentralized Finance (DeFi) | Solana Ecosystem | Liquid Staking Tokens | Liquid Staked SOL | Liquid Staking
Kinetiq Staked HYPE,khype,1242084536,Liquid Staking Tokens | Liquid Staking | HyperEVM Ecosystem
Wrapped BNB,wbnb,1216153346,Crypto-Backed Tokens | BNB Chain Ecosystem | Wrapped-Tokens
syrupUSDC,syrupusdc,1205264352,Decentralized Finance (DeFi) | Solana Ecosystem | Arbitrum Ecosystem | Ethereum Ecosystem | Yield-Bearing Stablecoin
Quant,qnt,1179998923,Ethereum Ecosystem | Real World Assets (RWA) | Energi Ecosystem
Kaspa,kas,1148720039,Smart Contract Platform | Layer 1 (L1) | Wallets | Proof of Work (PoW) | Kaspa Ecosystem | Made in USA | Directed Acyclic Graph (DAG)
Sky,sky,1128154651,Decentralized Finance (DeFi) | Ethereum Ecosystem | Stablecoin Issuer | Hydration Ecosystem | Governance
Global Dollar,usdg,1126145944,Stablecoins | USD Stablecoin | Solana Ecosystem | Ethereum Ecosystem | X Layer Ecosystem | Fiat-backed Stablecoin | Ink Ecosystem
Function FBTC,fbtc,1110243950,Crypto-Backed Tokens | BNB Chain Ecosystem | Arbitrum Ecosystem | Ethereum Ecosystem | Mantle Ecosystem
Flare,flr,1097268062,Smart Contract Platform | Layer 1 (L1)
Ripple USD,rlusd,1089000544,Stablecoins | USD Stablecoin | Ethereum Ecosystem | XRP Ledger Ecosystem | Fiat-backed Stablecoin | Made in USA
Kelp DAO Restaked ETH,rseth,1084159934,Liquid Staking Tokens | Ethereum Ecosystem | Restaking | Liquid Restaking Tokens | Liquid Staked ETH | Liquid Staking
Dash,dash,1058981876,Smart Contract Platform | Privacy | Masternodes | Alleged SEC Securities | Proof of Stake (PoS) | Proof of Work (PoW) | Made in USA
Starknet,strk,989491016,Infrastructure | Smart Contract Platform | Ethereum Ecosystem | Layer 2 (L2) | Zero Knowledge (ZK) | Starknet Ecosystem | Rollup | Privacy Blockchain
Pudgy Penguins,pengu,766984852,BNB Chain Ecosystem | Solana Ecosystem | Meme | Ethereum Ecosystem | Solana Meme | Binance HODLer Airdrops | Airdropped Tokens by NFT Projects | Abstract Ecosystem | Made in USA | HyperEVM Ecosystem | IP Meme
Caldera,era,39650432,BNB Chain Ecosystem | Ethereum Ecosystem | Rollups-as-a-Service (RaaS) | Cross-chain Communication | Binance HODLer Airdrops | Binance Alpha Spotlight
马到成功 (Success),马到成功,35481760,BNB Chain Ecosystem | Meme | Chinese Meme
ANyONe Protocol,anyone,28843560,Smart Contract Platform | Privacy | Ethereum Ecosystem | DePIN | Base Ecosystem | Privacy Blockchain | Peaq Ecosystem
